taxon_key,taxon_name,common_name,eez_name,eez_neighbour,n_ens,emerging_yr,Tresh
600006,Coryphaena hippurus,Common dolphinfish,Panama (Pacific),Colombia (Pacific),10,2032,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Colombia (Pacific),Panama (Pacific),10,2032,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Glorieuse Islands (France),Comoros Isl.,10,2007,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Comoros Isl.,Glorieuse Islands (France),10,2007,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Glorieuse Islands (France),Comoros Isl.,10,2014,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Comoros Isl.,Glorieuse Islands (France),10,2014,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Mayotte (France),Comoros Isl.,10,2010,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Comoros Isl.,Mayotte (France),10,2010,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Mayotte (France),Comoros Isl.,10,2095,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Comoros Isl.,Mayotte (France),10,2095,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Mozambique,Comoros Isl.,10,2034,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Comoros Isl.,Mozambique,10,2034,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Mozambique,Comoros Isl.,10,2051,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Comoros Isl.,Mozambique,10,2051,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Tanzania,Comoros Isl.,10,2008,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Comoros Isl.,Tanzania,10,2008,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Tanzania,Comoros Isl.,10,2008,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Comoros Isl.,Tanzania,10,2008,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,"Congo, R. of",Congo (ex-Zaire),10,2069,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Congo (ex-Zaire),"Congo, R. of",10,2069,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,"Congo, R. of",Congo (ex-Zaire),10,2077,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Congo (ex-Zaire),"Congo, R. of",10,2077,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Gabon,"Congo, R. of",10,2039,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,"Congo, R. of",Gabon,10,2039,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Gabon,"Congo, R. of",10,2044,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,"Congo, R. of",Gabon,10,2044,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,French Polynesia,Cook Islands,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Cook Islands,French Polynesia,10,2006,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,French Polynesia,Cook Islands,10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Cook Islands,French Polynesia,10,2006,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Kiribati (Line Islands),Cook Islands,10,2007,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Cook Islands,Kiribati (Line Islands),10,2007,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Kiribati (Line Islands),Cook Islands,10,2059,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Cook Islands,Kiribati (Line Islands),10,2059,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Tokelau (New Zealand),Cook Islands,10,2009,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Cook Islands,Tokelau (New Zealand),10,2009,Tresh_one
600006,Coryphaena hippurus,Common dolphinfish,Tokelau (New Zealand),Cook Islands,10,2014,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Cook Islands,Tokelau (New Zealand),10,2014,Tresh_two
600006,Coryphaena hippurus,Common dolphinfish,Nicaragua (Caribbean),Costa Rica (Caribbean),10,2033,Tresh_one
